id,nombre,horasTrabajadas,sueldo
1001,Ramiro,18,15000
1000,Saleem,60,20000
999,Tamarra,60,15000
998,Jaye,75,25000
997,De witt,88,12000
996,Atalanta,90,37000
995,Maxi,325,18000
994,Raquela,180,12000
993,Angelia,60,50000
992,Trenna,90,10000
991,Zaccaria,88,33000
990,Chiarra,325,18000
989,Wandie,60,25000
988,Dawn,180,37000
987,Mohammed,220,42000
986,Ferd,88,25000
985,Erna,325,33000
984,Pebrook,60,33000
983,Josi,120,12000
982,Sharai,75,10000
981,Genevieve,180,20000
980,Brana,60,10000
979,Libbey,120,42000
978,Warner,90,30000
977,Wenonah,325,12000
976,Arlina,325,33000
975,Aleksandr,88,42000
974,Herrick,75,30000
973,Guglielma,120,15000
972,Sloan,325,42000
971,Mercedes,180,12000
970,Noach,325,12000
969,Charlie,325,50000
968,Berenice,325,10000
967,Esme,120,37000
966,Karon,88,10000
965,Kirstin,180,12000
964,Ansley,75,37000
963,Arley,120,33000
962,Burty,60,12000
961,Ginnie,180,15000
960,Zitella,120,42000
959,Shaughn,90,15000
958,Trista,75,50000
957,Floyd,75,15000
956,Sioux,120,12000
955,Delila,325,20000
954,Laetitia,90,33000
953,Lacey,75,50000
952,Edwina,75,42000
951,Wake,220,25000
950,Lonna,120,10000
949,Clerissa,120,15000
948,Agustin,75,25000
947,Martyn,180,25000
946,Kimberley,325,18000
945,Cherice,220,15000
944,Isabeau,88,37000
943,Loria,180,25000
942,Vernen,120,18000
941,Nina,120,25000
940,Josefina,90,30000
939,Verina,75,37000
938,Arabel,180,50000
937,Randy,120,15000
936,Carolina,88,33000
935,Jillane,90,37000
934,Dorette,120,37000
933,Gui,325,20000
932,Debby,180,18000
931,Callie,75,10000
930,Emory,325,37000
929,Melody,60,20000
928,Hayden,180,30000
927,Robinia,120,10000
926,Abbie,90,18000
925,Wittie,90,37000
924,Orlan,60,25000
923,Ezekiel,75,20000
922,Wenda,90,12000
921,Odie,90,20000
920,Gretna,220,42000
919,Calypso,90,12000
918,Alysia,325,37000
917,Luis,60,12000
916,Saunder,180,37000
